Luciana Souza/Romero Lubambo
Aaron Goldberg
Nicolaus Esterhazy Sinfonia
Temple of the Dog
Chris Cornell
Alberto Turco & Nova Schola Gregoriana
"Richard Marlow & The Choir of Trinity College, Cambridge"
English Concert & Trevor Pinnock
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker"
"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer"
Wilhelm Kempff
Yo-Yo Ma
Scholars Baroque Ensemble
Academy of St. Martin in the Fields & Sir Neville Marriner
Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer"
Royal Philharmonic Orchestra & Sir Thomas Beecham
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner
"Britten Sinfonia, Ivor Bolton & Lesley Garrett"
"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti"
Sir Georg Solti & Wiener Philharmoniker
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair"
London Symphony Orchestra & Sir Charles Mackerras
Barry Wordsworth & BBC Concert Orchestra
"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker"
Eugene Ormandy
Luciano Pavarotti
Leonard Bernstein & New York Philharmonic
Boston Symphony Orchestra & Seiji Ozawa
Aaron Copland & London Symphony Orchestra
Ton Koopman
Sergei Prokofiev & Yuri Temirkanov
Chicago Symphony Orchestra & Fritz Reiner
Orchestra of The Age of Enlightenment
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra"
James Levine
Berliner Philharmoniker & Hans Rosbaud
Maurizio Pollini
"Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett"
Gustav Mahler
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos"
Edo de Waart & San Francisco Symphony
Antal Doráti & London Symphony Orchestra
Choir Of Westminster Abbey & Simon Preston
Michael Tilson Thomas & San Francisco Symphony
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker"
The King's Singers
Berliner Philharmoniker & Herbert Von Karajan
"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker"
Christopher O'Riley
Fretwork
Amy Winehouse
Calexico
Otto Klemperer & Philharmonia Orchestra
Yehudi Menuhin
Philharmonia Orchestra & Sir Neville Marriner
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart"
Les Arts Florissants & William Christie
The 12 Cellists of The Berlin Philharmonic
Adrian Leaper & Doreen de Feis
"Roger Norrington, London Classical Players"
Charles Dutoit & L'Orchestre Symphonique de Montréal
"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir"
Kent Nagano and Orchestre de l'Opéra de Lyon
Julian Bream
Martin Roscoe
Göteborgs Symfoniker & Neeme Järvi
Itzhak Perlman
Michele Campanella
Gerald Moore
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp"
Emerson String Quartet
"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu"
Nash Ensemble
Philip Glass Ensemble
Flander Abreu
Higor
Flander Abreu
Luigi Azevedo
Higor
Flander Abreu
Luigi Azevedo
Higor
